Instrument,EXPIR_DATE,PUT_CALL,STRIKE_PRC,CF_BID,CF_ASK,IMP_VOLT,DELTA,GAMMA,RHO,THETA,VEGA
/NDXd1725A4900.U,2025-04-17,5,14900,3834.0,4032.1,98.7258,0.998,0.0,1.0686,-3.0125,0.1393
/NDXp1725A4900.U,2025-04-17,6,14900,0.0,0.65,90.1499,-0.0008,0.0,-0.0011,-0.7364,0.0596
/NDXd1725A5000.U,2025-04-17,5,15000,3734.0,3932.2,96.2061,0.9979,0.0,1.0756,-3.0448,0.1398
/NDXp1725A5000.U,2025-04-17,6,15000,0.0,0.65,87.7131,-0.0008,0.0,-0.0011,-0.7334,0.0598
/NDXd1725A5025.U,2025-04-17,5,15025,3708.6,3907.2,92.3168,0.9985,0.0,1.0782,-2.5214,0.0599
/NDXp1725A5025.U,2025-04-17,6,15025,0.0,0.65,87.1065,-0.0008,0.0,-0.0011,-0.7327,0.0599
/NDXd1725A5050.U,2025-04-17,5,15050,3684.0,3882.2,95.1312,0.9978,0.0,1.0791,-3.1008,0.14
/NDXp1725A5050.U,2025-04-17,6,15050,0.0,0.65,86.5009,-0.0008,0.0,-0.0011,-0.7319,0.0599
/NDXd1725A5075.U,2025-04-17,5,15075,3665.7,3857.2,106.0254,0.9945,0.0,1.0762,-6.1855,0.2982
/NDXp1725A5075.U,2025-04-17,6,15075,0.0,0.65,85.8962,-0.0008,0.0,-0.0011,-0.7312,0.06
/NDXd1725A5100.U,2025-04-17,5,15100,3634.0,3832.2,112.4124,0.9912,0.0,1.0735,-9.2489,0.2984
/NDXp1725A5100.U,2025-04-17,6,15100,0.0,0.65,85.2926,-0.0008,0.0,-0.0012,-0.7304,0.06
/NDXd1725A5125.U,2025-04-17,5,15125,3615.9,3807.3,105.0337,0.9942,0.0,1.0795,-6.3551,0.2987
/NDXp1725A5125.U,2025-04-17,6,15125,0.0,0.65,84.69,-0.0008,0.0,-0.0012,-0.7296,0.0601
/NDXd1725A5150.U,2025-04-17,5,15150,3590.8,3782.3,104.1209,0.9943,0.0,1.0813,-6.2757,0.2989
/NDXp1725A5150.U,2025-04-17,6,15150,0.0,0.65,84.0885,-0.0008,0.0,-0.0012,-0.7289,0.0601
/NDXd1725A5175.U,2025-04-17,5,15175,3558.6,3757.3,91.9262,0.9977,0.0,1.088,-3.1212,0.1406
/NDXp1725A5175.U,2025-04-17,6,15175,0.0,0.65,83.4879,-0.0009,0.0,-0.0012,-0.7281,0.0601
/NDXd1725A5200.U,2025-04-17,5,15200,3540.8,3732.3,102.6338,0.9942,0.0,1.0849,-6.2483,0.2994
/NDXp1725A5200.U,2025-04-17,6,15200,0.0,0.65,82.8883,-0.0009,0.0,-0.0012,-0.7274,0.0602
/NDXd1725A5225.U,2025-04-17,5,15225,3515.9,3707.3,102.059,0.9941,0.0,1.0865,-6.3003,0.2996
/NDXp1725A5225.U,2025-04-17,6,15225,0.0,0.65,82.2897,-0.0009,0.0,-0.0012,-0.7266,0.0602
/NDXd1725A5250.U,2025-04-17,5,15250,3484.0,3682.3,90.158,0.9976,0.0,1.0932,-3.1653,0.1409
/NDXp1725A5250.U,2025-04-17,6,15250,0.0,0.65,81.6921,-0.0009,0.0,-0.0012,-0.7259,0.0603
/NDXd1725A5275.U,2025-04-17,5,15275,3458.7,3657.4,89.4524,0.9976,0.0,1.095,-3.1535,0.141
/NDXp1725A5275.U,2025-04-17,6,15275,0.0,0.65,81.0955,-0.0009,0.0,-0.0012,-0.7251,0.0603
/NDXd1725A5300.U,2025-04-17,5,15300,3434.0,3632.4,89.1022,0.9975,0.0,1.0967,-3.2213,0.1411
/NDXp1725A5300.U,2025-04-17,6,15300,0.0,0.65,80.4998,-0.0009,0.0,-0.0012,-0.7244,0.0604
/NDXd1725A5325.U,2025-04-17,5,15325,3409.2,3607.4,88.3986,0.9975,0.0,1.0985,-3.2094,0.1412
/NDXp1725A5325.U,2025-04-17,6,15325,0.0,0.65,79.9052,-0.0009,0.0,-0.0012,-0.7236,0.0604
/NDXd1725A5350.U,2025-04-17,5,15350,3384.0,3582.4,87.6961,0.9975,0.0,1.1003,-3.1976,0.1413
/NDXp1725A5350.U,2025-04-17,6,15350,0.0,0.65,79.3115,-0.0009,0.0,-0.0012,-0.7229,0.0605
/NDXd1725A5375.U,2025-04-17,5,15375,3358.7,3557.4,87.3483,0.9974,0.0,1.1019,-3.2654,0.1414
/NDXp1725A5375.U,2025-04-17,6,15375,0.0,0.65,78.7188,-0.0009,0.0,-0.0012,-0.7221,0.0605
/NDXd1725A5400.U,2025-04-17,5,15400,3337.1,3532.5,88.4139,0.997,0.0,1.1031,-3.652,0.1416
/NDXp1725A5400.U,2025-04-17,6,15400,0.0,0.7,78.5399,-0.001,0.0,-0.0013,-0.769,0.0606
/NDXd1725A5425.U,2025-04-17,5,15425,3310.0,3507.5,76.4775,0.9992,0.0,1.1079,-1.8409,0.0606
/NDXp1725A5425.U,2025-04-17,6,15425,0.0,0.7,77.9489,-0.001,0.0,-0.0013,-0.7682,0.0606
/NDXd1725A5450.U,2025-04-17,5,15450,3284.0,3482.5,85.2505,0.9974,0.0,1.1073,-3.2299,0.1418
/NDXp1725A5450.U,2025-04-17,6,15450,0.0,0.7,77.3588,-0.001,0.0,-0.0014,-0.7675,0.0607
/NDXd1725A5475.U,2025-04-17,5,15475,3260.0,3457.5,75.0404,0.9992,0.0,1.1116,-1.8153,0.0607
/NDXp1725A5475.U,2025-04-17,6,15475,0.0,0.7,76.7697,-0.001,0.0,-0.0014,-0.7667,0.0607
/NDXd1725A5500.U,2025-04-17,5,15500,3241.1,3432.5,94.6412,0.9935,0.0,1.1054,-6.4122,0.3022
/NDXp1725A5500.U,2025-04-17,6,15500,0.0,0.7,76.1815,-0.001,0.0,-0.0014,-0.766,0.0607
/NDXd1725A5525.U,2025-04-17,5,15525,3214.9,3407.6,92.0947,0.9944,0.0,1.1084,-5.676,0.3024
/NDXp1725A5525.U,2025-04-17,6,15525,0.0,0.7,75.5943,-0.001,0.0,-0.0014,-0.7652,0.0608
/NDXd1725A5550.U,2025-04-17,5,15550,3184.0,3382.6,82.4843,0.9972,0.0,1.1142,-3.3371,0.1421
/NDXp1725A5550.U,2025-04-17,6,15550,0.0,0.7,75.008,-0.001,0.0,-0.0014,-0.7645,0.0608
/NDXd1725A5575.U,2025-04-17,5,15575,3166.7,3357.6,93.6166,0.9928,0.0,1.1099,-6.8307,0.303
/NDXp1725A5575.U,2025-04-17,6,15575,0.0,0.7,74.4228,-0.001,0.0,-0.0014,-0.7637,0.0609
/NDXd1725A5600.U,2025-04-17,5,15600,3134.7,3332.6,67.4632,0.9996,0.0,1.1211,-1.5297,0.0236
