Price,Close,High,Low,Open,Volume,LogReturn
Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,
Date,,,,,,
2024-05-08,609.469970703125,618.219970703125,601.6300048828125,601.6300048828125,3093900,0.005709692898521845
2024-05-09,612.0900268554688,615.719970703125,605.75,614.4000244140625,2065400,0.004289695430962179
2024-05-10,610.8699951171875,623.97998046875,605.0599975585938,619.0,2653600,-0.0019952118157479087
2024-05-13,616.5900268554688,618.219970703125,606.8300170898438,614.2999877929688,2086200,0.009320178322799378
2024-05-14,613.6599731445312,621.47998046875,608.4000244140625,615.1699829101562,2792400,-0.004763355823728276
2024-05-15,613.52001953125,624.0999755859375,609.0999755859375,618.5700073242188,5670600,-0.00022808979077766764
2024-05-16,610.52001953125,618.3400268554688,609.0900268554688,615.75,3056400,-0.004901810253251636
2024-05-17,621.0999755859375,625.7899780273438,614.7100219726562,617.0,3782700,0.017180975219383852
2024-05-20,640.8200073242188,644.3699951171875,619.52001953125,620.4000244140625,3857900,0.031256557425335715
2024-05-21,650.6099853515625,650.8800048828125,634.219970703125,636.760009765625,2920200,0.015161744150684943
2024-05-22,640.469970703125,649.25,638.1199951171875,647.1400146484375,2176200,-0.0157081257439302
2024-05-23,635.6699829101562,642.7100219726562,630.0,642.3400268554688,2313900,-0.00752270221728972
2024-05-24,646.75,652.0,637.5999755859375,639.4000244140625,2613300,0.017280287193861713
2024-05-28,649.0,649.75,643.030029296875,647.0499877929688,2609500,0.0034728956379514375
2024-05-29,654.6199951171875,664.25,643.8900146484375,644.1300048828125,3695900,0.008622190446724982
2024-05-30,647.6599731445312,656.489990234375,644.72998046875,653.52001953125,2393400,-0.01068908132062577
2024-05-31,641.6199951171875,648.5800170898438,628.2999877929688,644.010009765625,4071000,-0.009369605304029192
2024-06-03,633.7899780273438,646.780029296875,627.27001953125,645.219970703125,2323500,-0.01227858591038303
2024-06-04,631.6199951171875,635.22998046875,626.4400024414062,633.780029296875,3008200,-0.003429694855105732
2024-06-05,650.27001953125,651.25,628.25,634.02001953125,2682600,0.029099751531690487
2024-06-06,648.52001953125,657.989990234375,644.239990234375,644.8900146484375,2466700,-0.0026948174938433685
2024-06-07,641.469970703125,650.4000244140625,640.239990234375,649.3800048828125,1876600,-0.010930501901437423
2024-06-10,644.5,644.7899780273438,635.5900268554688,641.010009765625,2066800,0.004712450482161377
2024-06-11,648.5499877929688,650.1900024414062,640.52001953125,640.719970703125,2167400,0.006264260585404059
2024-06-12,650.0599975585938,655.780029296875,643.1099853515625,652.2100219726562,2094400,0.0023255796015885107
2024-06-13,653.260009765625,655.25,642.3499755859375,644.0,1863600,0.004910564741392428
2024-06-14,669.3800048828125,675.5800170898438,652.6400146484375,655.0499877929688,4447100,0.024376690815546744
2024-06-17,675.8300170898438,682.7100219726562,665.1099853515625,669.1099853515625,3631200,0.009589672290823262
2024-06-18,685.6699829101562,687.0599975585938,674.6400146484375,675.6300048828125,2943800,0.014454847083446448
2024-06-20,679.030029296875,689.8800048828125,673.719970703125,681.7999877929688,2585100,-0.009731085148084432
2024-06-21,686.1199951171875,686.9000244140625,678.0999755859375,683.260009765625,4557100,0.010387180075707398
