Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,,
2024-12-23,139.6571502685547,139.6699981689453,139.7899932861328,135.1199951171875,136.27999877929688,176053500
2024-12-24,140.2071075439453,140.22000122070312,141.89999389648438,138.64999389648438,140.0,105157000
2024-12-26,139.91712951660156,139.92999267578125,140.85000610351562,137.72999572753906,139.6999969482422,116205600
2024-12-27,136.9973907470703,137.00999450683594,139.02000427246094,134.7100067138672,138.5500030517578,170582600
2024-12-30,137.47735595703125,137.49000549316406,140.27000427246094,134.02000427246094,134.8300018310547,167734700
2024-12-31,134.27764892578125,134.2899932861328,138.07000732421875,133.8300018310547,138.02999877929688,155659200
2025-01-02,138.29727172851562,138.30999755859375,138.8800048828125,134.6300048828125,136.0,198247200
2025-01-03,144.4567108154297,144.47000122070312,144.89999389648438,139.72999572753906,140.00999450683594,229322500
2025-01-06,149.41624450683594,149.42999267578125,152.16000366210938,147.82000732421875,148.58999633789062,265377400
2025-01-07,140.12710571289062,140.13999938964844,153.1300048828125,140.00999450683594,153.02999877929688,351782200
2025-01-08,140.0971221923828,140.11000061035156,143.9499969482422,137.55999755859375,142.5800018310547,227349900
2025-01-10,135.8975067138672,135.91000366210938,139.9199981689453,134.22000122070312,137.4499969482422,207602500
2025-01-13,133.21774291992188,133.22999572753906,133.49000549316406,129.50999450683594,129.99000549316406,204808900
2025-01-14,131.7478790283203,131.75999450683594,136.3800048828125,130.0500030517578,136.0500030517578,195590500
2025-01-15,136.22747802734375,136.24000549316406,136.4499969482422,131.2899932861328,133.64999389648438,185217300
2025-01-16,133.55772399902344,133.57000732421875,138.75,133.49000549316406,138.63999938964844,209235600
2025-01-17,137.6973419189453,137.7100067138672,138.5,135.4600067138672,136.69000244140625,201188800
2025-01-21,140.81704711914062,140.8300018310547,141.8300018310547,137.08999633789062,139.16000366210938,197749000
2025-01-22,147.05648803710938,147.07000732421875,147.7899932861328,143.6699981689453,144.66000366210938,237651400
2025-01-23,147.2064666748047,147.22000122070312,147.22999572753906,143.72000122070312,145.0500030517578,155915500
2025-01-24,142.60687255859375,142.6199951171875,148.97000122070312,141.8800048828125,148.3699951171875,234657600
2025-01-27,118.40910339355469,118.41999816894531,128.39999389648438,116.69999694824219,124.80000305175781,818830900
2025-01-28,128.9781494140625,128.99000549316406,129.0,116.25,121.80999755859375,579666400
2025-01-29,123.6886215209961,123.69999694824219,126.88999938964844,120.05000305175781,126.5,467120600
2025-01-30,124.63853454589844,124.6500015258789,125.0,118.0999984741211,123.0999984741211,392925500
2025-01-31,120.0589599609375,120.06999969482422,127.8499984741211,119.19000244140625,123.77999877929688,390372900
2025-02-03,116.64927673339844,116.66000366210938,118.56999969482422,113.01000213623047,114.75,371235700
2025-02-04,118.63909149169922,118.6500015258789,121.19999694824219,116.69999694824219,116.95999908447266,256550000
2025-02-05,124.81851959228516,124.83000183105469,125.0,120.76000213623047,121.76000213623047,262230800
2025-02-06,128.66815185546875,128.67999267578125,128.77000427246094,125.20999908447266,127.41999816894531,251483600
2025-02-07,129.8280487060547,129.83999633789062,130.3699951171875,125.0,129.22000122070312,228186300
2025-02-10,133.55772399902344,133.57000732421875,135.0,129.9600067138672,130.08999633789062,216989100
2025-02-11,132.7877960205078,132.8000030517578,134.47999572753906,131.02000427246094,132.5800018310547,178902400
2025-02-12,131.12794494628906,131.13999938964844,132.24000549316406,129.0800018310547,130.02000427246094,160278600
