Price,Close,High,Low,Open,Volume
Ticker,KO,KO,KO,KO,KO
Date,,,,,
2024-05-07,60.801513671875,60.99570641109041,60.44225951187347,60.93744747815026,9807000
2024-05-08,61.02482986450195,61.14134772243725,60.665575728996885,61.02482986450195,10484400
2024-05-09,61.05396270751953,61.31612233855165,60.927736876892595,60.98599580731693,9113700
2024-05-10,61.42292404174805,61.52002225788885,60.966575389600045,61.09279751470576,8371700
2024-05-13,61.73363494873047,61.77247053146941,61.3452494899952,61.403508419980966,10137600
2024-05-14,61.26757049560547,61.90840390537163,60.97628325551508,61.733634524451965,10852200
2024-05-15,61.29670333862305,61.54915129860906,61.170477506670885,61.22873643770688,9838900
2024-05-16,61.48118591308594,61.879279358515014,61.23844591699702,61.40351104037505,10228000
2024-05-17,61.19960403442383,61.52973056326738,61.11221749137941,61.50060295022532,11539000
2024-05-20,60.75296401977539,61.18018506608479,60.64615783221847,61.10251019580957,11000900
2024-05-21,61.083091735839844,61.15105863761698,60.626739363406216,60.995705190138054,9796200
2024-05-22,61.17047882080078,61.18989846489664,60.84035227900798,60.88889953728843,7419400
2024-05-23,60.286903381347656,61.05396262999525,60.248064094447415,60.675288842513545,9834300
2024-05-24,60.199520111083984,60.60732153395563,60.170392496284144,60.41313249673206,8200700
2024-05-28,60.024742126464844,60.32574103591973,59.61694073680162,59.995614514036944,12347000
2024-05-29,59.908233642578125,60.08300674152245,59.296527796273,59.68491328368672,11861800
2024-05-30,60.170387268066406,60.27719345161003,59.81112943179818,60.05386941115437,9436800
2024-05-31,61.102508544921875,61.199603056122136,59.89851660488047,60.18980754631761,19816600
2024-06-03,61.102508544921875,61.2578619851932,60.6364482241079,60.88889617557948,9369000
2024-06-04,62.08317565917969,62.112306975306915,61.11221574374975,61.364667395955685,11895600
2024-06-05,62.063758850097656,62.20940432562926,61.51031196934685,62.13172945488582,9632500
2024-06-06,62.28708267211914,62.490983373981805,61.986083752285,62.06375862274389,8658500
2024-06-07,62.05405044555664,62.35504936438502,61.95695593182789,62.228819829484735,9523100
2024-06-10,61.74334716796875,62.131732653434945,61.529734780570486,62.083181689812804,15687100
2024-06-11,61.704505920410156,61.80160414065448,61.238445574992504,61.74334520850788,8396000
2024-06-12,61.05396270751953,61.84043789669762,60.86947794646826,61.84043789669762,9569600
2024-06-13,61.160770416259766,61.20931767419536,60.63645114115125,61.03454458249252,9668900
2024-06-14,61.204795837402344,61.34178439320262,60.754689516156226,61.0384536575472,8179200
2024-06-17,61.273292541503906,61.54727339661132,60.84275653013275,61.028669044272,10532700
2024-06-18,61.283077239990234,61.4689897470559,61.09716100026636,61.18522560522551,10651700
2024-06-20,60.84275436401367,61.39071232206179,60.61770120249164,61.058024228364395,13306300
2024-06-21,61.420066833496094,61.74296790202854,60.84275524293613,60.84275524293613,28282200
2024-06-24,62.59425735473633,62.68231822432228,61.55705245415743,61.63533375955572,13212500
2024-06-25,62.46705627441406,62.69210944348715,62.14415146705376,62.56490418004294,10546800
2024-06-26,62.67253875732422,62.7312460038059,61.870170306379755,62.036516214280056,9402500
2024-06-27,62.53554916381836,62.88780385584161,62.251785018085116,62.672541454373146,8494100
2024-06-28,62.28114318847656,62.68232183746432,62.153937926200996,62.52576668295973,17358800
2024-07-01,61.919097900390625,62.9171659412198,61.762539012794704,62.65296838586994,10033400
2024-07-02,61.79189682006836,62.016949989334016,61.50813266778014,61.89952802328889,8878200
2024-07-03,61.96802520751953,62.30070957555534,61.576626124588266,61.83103291563279,9154200
2024-07-05,62.38877487182617,62.418132229598235,61.645121085231146,61.9680258921155,11735500
2024-07-08,61.60597610473633,62.222428317453044,61.48855787986678,62.222428317453044,11235100
2024-07-09,61.3417854309082,61.870173068783494,61.24393752729793,61.70383088611438,11657500
2024-07-10,61.47877883911133,61.50813246419629,60.95039119163216,61.37114390358872,11930400
2024-07-11,61.74296569824219,62.09522411145592,61.058022931057856,61.29285938476159,11431600
2024-07-12,62.3300666809082,62.731249059593935,62.02673220623039,62.0952264855676,9201500
2024-07-15,62.04629898071289,62.56489956104405,61.987588002075036,62.41812771343651,8207500
2024-07-16,62.8878059387207,62.926946594461285,62.02673390837811,62.0658745641187,9025100
2024-07-17,63.807594299316406,63.98372352194577,63.024803560654654,63.083510813092126,12508200
2024-07-18,63.78801727294922,64.39467868977992,63.328123963212576,63.406405263873225,11128200
2024-07-19,63.8858757019043,64.2283471171289,63.42598231632399,64.2283471171289,13775700
2024-07-22,63.377052307128906,63.8858733613788,62.93673299873125,63.846732706027524,11794200
2024-07-23,63.56296157836914,64.61973676093385,63.45532665429407,64.02285489663244,11810300
2024-07-24,64.39468383789062,64.5512464517285,63.43576395674073,63.69016700625281,13244600
2024-07-25,64.64909362792969,65.45145835156261,64.44361079855841,64.61974000449325,16328600
2024-07-26,65.60802459716797,65.66673184729218,64.5903899582206,64.64909720834481,13530100
2024-07-29,65.39275360107422,65.58844940833201,64.96221386672724,65.4416738202304,12140200
2024-07-30,66.22447204589844,66.37124763414633,64.93286030688674,65.05028227054835,13258000
2024-07-31,65.3046875,66.15597996790888,65.17748596745504,66.04834503063361,15576800
2024-08-01,66.49844360351562,66.6452191794938,65.26553921674122,65.55909036869757,16495900
2024-08-02,67.8389892578125,68.17167362684026,66.23425973179445,67.05619108961592,22514800
2024-08-05,66.63543701171875,68.054257729263,66.27339902525154,67.50629603665578,25484300
2024-08-06,66.58651733398438,67.35952099719957,66.31253275279668,66.68436523746458,12969100
2024-08-07,66.9876937866211,67.69221061313962,66.37124529607551,66.5865151558802,13365300
2024-08-08,67.25189971923828,67.37910125893906,66.39082017259548,66.5375957739839,15240900
2024-08-09,67.20296478271484,67.31059971443712,66.78221208561408,67.22253137697508,12080400
2024-08-12,66.70393371582031,67.06597918076977,66.37124934152897,66.97791083942889,11012300
2024-08-13,66.9876937866211,67.13446936969851,66.54737450270514,66.61586877943243,9877600
2024-08-14,67.1051254272461,67.4084562014683,66.66479861448896,66.7626539942021,14328000
2024-08-15,67.17361450195312,67.43780459685541,67.02683890908885,67.14426087644362,11285100
2024-08-16,67.69221496582031,67.80963693289584,67.16382731195553,67.35952312509801,12651200
2024-08-19,67.49651336669922,67.92704561176967,67.36930438027623,67.85855133650963,9843900
2024-08-20,67.88790130615234,67.89768833503885,67.29101945444256,67.50628929805143,11957400
2024-08-21,68.0738296508789,68.62178392105055,67.83899317299348,67.98576877116577,8792400
2024-08-22,67.8389892578125,68.41629712123712,67.3106016140773,68.41629712123712,12509200
2024-08-23,68.28909301757812,68.34780026511915,67.45737466104289,67.90748097792883,11834700
2024-08-26,69.31651306152344,69.39479437510225,68.23039156321452,68.32823947252956,12912200
